"X","Y"
191.5,189.5
193.4,191.9
186.1,187
179.4,181.5
200.8,197.7
166.8,171
196.5,194.4
188,188.6
180.7,181.9
184.6,186
190.8,189.7
184.6,185.8
195.6,194.1
182.4,183.7
194.9,192
204.3,200.6
191.4,190.1
164.6,169.2
202.2,198.4
186.3,187
174.9,177.9
202.5,199.2
175.1,177.3
184.6,184.6
181.6,182.7
186.5,186.6
182.3,182.9
182.3,183.6
187.2,187
192.6,191
191.5,190.3
163.8,167.3
175.5,177.8
181.1,181.9
211.9,206.5
189.3,188.7
168.3,172
184.5,184.9
195.3,192.9
191.1,191.4
198.6,196.6
180.1,182.1
191.7,191.3
186,185.4
176,176.8
192.5,191.7
179.3,179.2
189.3,189.2
188.7,188.7
182.2,182.9
180.2,182.2
179,181
186.8,186.8
205.1,201.9
198,196.2
183.1,184.3
174.1,177.1
188,188
183.5,183.3
207.1,203.1
174.7,177
174.5,177.6
